Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,AffinityPropagation,0.909407666,0.890350877,0.882608696,0.886462882,0.905923345,0.881818182,0.873873874,0.877828054,0.912891986,0.925438596,0.864754098,0.894067797,0.891986063,0.881578947,0.851694915,0.86637931,0.881533101,0.912280702,0.8125,0.859504132
meanmode,AffinityPropagation,0.905923345,0.930555556,0.8375,0.881578947,0.893728223,0.948837209,0.803149606,0.869936034,0.905923345,0.953703704,0.824,0.884120172,0.905923345,0.925925926,0.840336134,0.881057269,0.881533101,0.949074074,0.782442748,0.857740586
meanmode,AffinityPropagation,0.902439024,0.87037037,0.87037037,0.87037037,0.893728223,0.861111111,0.857142857,0.859122402,0.909407666,0.893518519,0.869369369,0.881278539,0.87456446,0.875,0.807692308,0.84,0.888501742,0.902777778,0.819327731,0.859030837
meanmode,SVD,0.848432056,0.909090909,0.771929825,0.834914611,0.909407666,0.876190476,0.876190476,0.876190476,0.944250871,0.929752066,0.9375,0.933609959,0.93902439,0.921487603,0.933054393,0.927234927,0.914634146,0.871900826,0.92139738,0.89596603
meanmode,SVD,0.81358885,0.896103896,0.713793103,0.79462572,0.914634146,0.869747899,0.92,0.894168467,0.925087108,0.874458874,0.935185185,0.903803132,0.921602787,0.848484848,0.951456311,0.897025172,0.909407666,0.874458874,0.897777778,0.885964912
meanmode,SVD,0.857142857,0.888888889,0.79704797,0.840466926,0.916376307,0.893617021,0.901287554,0.897435897,0.919860627,0.847736626,0.958139535,0.899563319,0.925087108,0.851851852,0.96728972,0.905908096,0.911149826,0.847736626,0.936363636,0.889848812
meanmode,SVD,0.834494774,0.93697479,0.735973597,0.824399261,0.942508711,0.931623932,0.927659574,0.929637527,0.952961672,0.957983193,0.930612245,0.944099379,0.951219512,0.957983193,0.926829268,0.94214876,0.933797909,0.932773109,0.909836066,0.921161826
meanmode,SVD,0.864111498,0.92920354,0.772058824,0.843373494,0.902439024,0.879828326,0.879828326,0.879828326,0.956445993,0.951327434,0.938864629,0.945054945,0.958188153,0.973451327,0.924369748,0.948275862,0.923344948,0.889380531,0.913636364,0.901345291
meanmode,SVD,0.818815331,0.935185185,0.691780822,0.795275591,0.905923345,0.877828054,0.877828054,0.877828054,0.93554007,0.925925926,0.904977376,0.915331808,0.928571429,0.930555556,0.885462555,0.90744921,0.925087108,0.898148148,0.902325581,0.900232019
meanmode,SVD,0.848432056,0.918181818,0.745387454,0.822810591,0.918118467,0.897321429,0.893333333,0.89532294,0.944250871,0.936363636,0.919642857,0.927927928,0.951219512,0.931818182,0.940366972,0.936073059,0.921602787,0.881818182,0.910798122,0.896073903
meanmode,SVD,0.831010453,0.919491525,0.73559322,0.8173258,0.902439024,0.837606838,0.91588785,0.875,0.921602787,0.894067797,0.913419913,0.903640257,0.907665505,0.889830508,0.886075949,0.88794926,0.900696864,0.877118644,0.880851064,0.878980892
meanmode,SVD,0.853658537,0.933609959,0.767918089,0.842696629,0.909407666,0.871681416,0.895454545,0.883408072,0.930313589,0.912863071,0.920502092,0.916666667,0.928571429,0.908713693,0.920168067,0.91440501,0.916376307,0.900414938,0.900414938,0.900414938
meanmode,SVD,0.831010453,0.942477876,0.717171717,0.814531549,0.897212544,0.8625,0.888412017,0.875264271,0.932055749,0.880530973,0.943127962,0.910755149,0.93902439,0.898230088,0.944186047,0.920634921,0.916376307,0.907079646,0.88362069,0.895196507
meanmode,SVD,0.827526132,0.916299559,0.722222222,0.80776699,0.914634146,0.859728507,0.913461538,0.885780886,0.928571429,0.911894273,0.907894737,0.90989011,0.926829268,0.889867841,0.922374429,0.905829596,0.897212544,0.859030837,0.878378378,0.868596882
meanmode,SVD,0.801393728,0.912037037,0.674657534,0.775590551,0.933797909,0.928870293,0.913580247,0.921161826,0.916376307,0.87962963,0.896226415,0.887850467,0.921602787,0.884259259,0.90521327,0.894613583,0.891986063,0.865740741,0.85,0.857798165
meanmode,SVD,0.834494774,0.943925234,0.70877193,0.809619238,0.909407666,0.831858407,0.930693069,0.878504673,0.93554007,0.897196262,0.927536232,0.912114014,0.93554007,0.901869159,0.923444976,0.912529551,0.916376307,0.887850467,0.887850467,0.887850467
meanmode,SVD,0.81184669,0.942307692,0.671232877,0.784,0.897212544,0.889361702,0.863636364,0.876310273,0.923344948,0.899038462,0.89047619,0.894736842,0.928571429,0.923076923,0.884792627,0.903529412,0.895470383,0.879807692,0.839449541,0.85915493
meanmode,SVD,0.837979094,0.901345291,0.738970588,0.812121212,0.902439024,0.901408451,0.845814978,0.872727273,0.925087108,0.883408072,0.920560748,0.901601831,0.925087108,0.865470852,0.936893204,0.8997669,0.905923345,0.834080717,0.916256158,0.873239437
meanmode,SVD,0.792682927,0.884792627,0.671328671,0.763419483,0.921602787,0.880733945,0.909952607,0.895104895,0.945993031,0.907834101,0.947115385,0.927058824,0.940766551,0.898617512,0.942028986,0.919811321,0.902439024,0.857142857,0.881516588,0.869158879
meanmode,SVD,0.844947735,0.912663755,0.751798561,0.824457594,0.909407666,0.882845188,0.89787234,0.890295359,0.93728223,0.925764192,0.917748918,0.92173913,0.930313589,0.934497817,0.89539749,0.914529915,0.912891986,0.890829694,0.890829694,0.890829694
meanmode,SVD,0.820557491,0.953051643,0.685810811,0.797642436,0.902439024,0.87745098,0.852380952,0.8647343,0.93554007,0.953051643,0.882608696,0.916478555,0.933797909,0.938967136,0.888888889,0.913242009,0.911149826,0.924882629,0.849137931,0.885393258
meanmode,SVD,0.825783972,0.882882883,0.725925926,0.796747967,0.925087108,0.896995708,0.916666667,0.906724512,0.932055749,0.900900901,0.921658986,0.911161731,0.93554007,0.891891892,0.938388626,0.914549654,0.900696864,0.869369369,0.873303167,0.871331828
meanmode,SVD,0.804878049,0.882352941,0.693950178,0.77689243,0.918118467,0.927966102,0.879518072,0.903092784,0.930313589,0.886877828,0.928909953,0.907407407,0.918118467,0.864253394,0.918269231,0.89044289,0.911149826,0.873303167,0.893518519,0.883295195
meanmode,SVD,0.841463415,0.939814815,0.722419929,0.816901408,0.925087108,0.895196507,0.915178571,0.905077263,0.926829268,0.87962963,0.922330097,0.900473934,0.923344948,0.861111111,0.93,0.894230769,0.900696864,0.856481481,0.876777251,0.866510539
meanmode,SVD,0.843205575,0.934782609,0.74137931,0.826923077,0.900696864,0.904761905,0.856557377,0.88,0.93902439,0.934782609,0.914893617,0.924731183,0.933797909,0.92173913,0.913793103,0.917748918,0.921602787,0.92173913,0.887029289,0.904051173
meanmode,SVD,0.825783972,0.91627907,0.70609319,0.79757085,0.923344948,0.865384615,0.918367347,0.891089109,0.926829268,0.930232558,0.881057269,0.904977376,0.933797909,0.930232558,0.896860987,0.913242009,0.900696864,0.897674419,0.846491228,0.871331828
meanmode,SVD,0.824041812,0.919282511,0.711805556,0.802348337,0.905923345,0.839449541,0.905940594,0.871428571,0.93728223,0.928251121,0.911894273,0.92,0.933797909,0.914798206,0.914798206,0.914798206,0.914634146,0.892376682,0.888392857,0.890380313
meanmode,SVD,0.822299652,0.943589744,0.669090909,0.782978723,0.905923345,0.86784141,0.891402715,0.879464286,0.940766551,0.984615385,0.860986547,0.918660287,0.945993031,0.974358974,0.87962963,0.924574209,0.914634146,0.933333333,0.834862385,0.881355932
meanmode,SVD,0.843205575,0.933920705,0.738675958,0.824902724,0.907665505,0.866972477,0.887323944,0.877030162,0.932055749,0.889867841,0.935185185,0.911963883,0.93902439,0.894273128,0.948598131,0.920634921,0.921602787,0.911894273,0.892241379,0.901960784
meanmode,SVD,0.851916376,0.92139738,0.758992806,0.83234714,0.911149826,0.877272727,0.889400922,0.883295195,0.921602787,0.88209607,0.918181818,0.899777283,0.928571429,0.895196507,0.923423423,0.909090909,0.928571429,0.903930131,0.915929204,0.90989011
meanmode,SVD,0.808362369,0.890909091,0.695035461,0.780876494,0.904181185,0.866666667,0.870813397,0.868735084,0.919860627,0.918181818,0.87826087,0.897777778,0.921602787,0.895454545,0.899543379,0.897494305,0.893728223,0.890909091,0.841201717,0.865342163
meanmode,SVD,0.839721254,0.923076923,0.731182796,0.816,0.925087108,0.906103286,0.893518519,0.8997669,0.932055749,0.963800905,0.87295082,0.916129032,0.93728223,0.918552036,0.918552036,0.918552036,0.921602787,0.904977376,0.892857143,0.898876404
meanmode,SVD,0.837979094,0.891891892,0.741573034,0.809815951,0.909407666,0.887931034,0.887931034,0.887931034,0.914634146,0.878378378,0.898617512,0.888382688,0.921602787,0.90990991,0.889867841,0.899777283,0.902439024,0.837837838,0.902912621,0.869158879
knn,none,0.914634146,0.841409692,0.93627451,0.886310905,0.93554007,0.929515419,0.909482759,0.919389978,0.919860627,0.841409692,0.950248756,0.892523364,0.904181185,0.788546256,0.962365591,0.866828087,0.926829268,0.920704846,0.896995708,0.908695652
knn,none,0.919860627,0.892857143,0.900900901,0.896860987,0.921602787,0.919642857,0.884120172,0.901531729,0.923344948,0.888392857,0.912844037,0.900452489,0.916376307,0.883928571,0.9,0.891891892,0.895470383,0.9375,0.8203125,0.875
knn,none,0.93554007,0.920930233,0.908256881,0.914549654,0.93902439,0.944186047,0.898230088,0.920634921,0.933797909,0.91627907,0.907834101,0.912037037,0.923344948,0.91627907,0.883408072,0.899543379,0.932055749,0.930232558,0.892857143,0.911161731
knn,none,0.959930314,0.966824645,0.927272727,0.946635731,0.947735192,0.962085308,0.902222222,0.931192661,0.959930314,0.966824645,0.927272727,0.946635731,0.954703833,0.947867299,0.930232558,0.938967136,0.944250871,0.981042654,0.880851064,0.928251121
knn,none,0.93728223,0.895927602,0.938388626,0.916666667,0.932055749,0.936651584,0.892241379,0.913907285,0.93902439,0.900452489,0.938679245,0.919168591,0.926829268,0.864253394,0.9408867,0.900943396,0.919860627,0.909502262,0.885462555,0.897321429
knn,none,0.940766551,0.960352423,0.897119342,0.927659574,0.930313589,0.929515419,0.89787234,0.913419913,0.93902439,0.960352423,0.893442623,0.925690021,0.940766551,0.925110132,0.925110132,0.925110132,0.925087108,0.920704846,0.893162393,0.906724512
knn,none,0.93902439,0.931914894,0.920168067,0.926004228,0.942508711,0.965957447,0.900793651,0.932238193,0.933797909,0.927659574,0.912133891,0.919831224,0.926829268,0.910638298,0.910638298,0.910638298,0.93554007,0.940425532,0.905737705,0.922755741
