Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1
meanmode,SVD,0.911149826,0.88317757,0.879069767,0.881118881,0.902439024,0.88317757,0.859090909,0.870967742,0.933797909,0.929906542,0.896396396,0.912844037,0.93902439,0.920560748,0.91627907,0.918414918,0.916376307,0.925233645,0.860869565,0.891891892
meanmode,SVD,0.919860627,0.884259259,0.900943396,0.892523364,0.900696864,0.856481481,0.876777251,0.866510539,0.921602787,0.907407407,0.886877828,0.897025172,0.918118467,0.912037037,0.875555556,0.893424036,0.905923345,0.902777778,0.855263158,0.878378378
knn,none,0.919860627,0.891666667,0.914529915,0.902953586,0.93902439,0.933333333,0.9218107,0.927536232,0.933797909,0.9375,0.907258065,0.922131148,0.912891986,0.925,0.874015748,0.898785425,0.926829268,0.9125,0.9125,0.9125
knn,none,0.93554007,0.869565217,0.966183575,0.915331808,0.928571429,0.913043478,0.909090909,0.911062907,0.944250871,0.886956522,0.971428571,0.927272727,0.930313589,0.843478261,0.97979798,0.906542056,0.928571429,0.882608696,0.935483871,0.908277405
knn,none,0.932055749,0.872807018,0.95215311,0.910755149,0.930313589,0.894736842,0.927272727,0.910714286,0.928571429,0.859649123,0.956097561,0.905311778,0.942508711,0.899122807,0.953488372,0.925507901,0.923344948,0.912280702,0.896551724,0.904347826
knn,none,0.93554007,0.955947137,0.889344262,0.921443737,0.930313589,0.938325991,0.891213389,0.91416309,0.93554007,0.938325991,0.902542373,0.920086393,0.926829268,0.960352423,0.868525896,0.912133891,0.926829268,0.9030837,0.911111111,0.907079646
knn,none,0.918118467,0.952830189,0.845188285,0.89578714,0.923344948,0.919811321,0.878378378,0.898617512,0.932055749,0.938679245,0.884444444,0.910755149,0.921602787,0.943396226,0.858369099,0.898876404,0.918118467,0.905660377,0.876712329,0.890951276
knn,none,0.932055749,0.940366972,0.887445887,0.913140312,0.930313589,0.926605505,0.89380531,0.90990991,0.945993031,0.922018349,0.934883721,0.928406467,0.932055749,0.917431193,0.904977376,0.911161731,0.933797909,0.931192661,0.898230088,0.914414414
knn,none,0.925087108,0.908296943,0.904347826,0.906318083,0.933797909,0.943231441,0.89626556,0.919148936,0.921602787,0.877729258,0.922018349,0.899328859,0.928571429,0.886462882,0.931192661,0.908277405,0.926829268,0.938864629,0.884773663,0.911016949
knn,none,0.932055749,0.919491525,0.915611814,0.917547569,0.940766551,0.881355932,0.971962617,0.924444444,0.932055749,0.872881356,0.958139535,0.913525499,0.932055749,0.915254237,0.919148936,0.917197452,0.930313589,0.872881356,0.953703704,0.911504425
